City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,soria,41.6667,-2.6667,282.66,92,96,1.7,ES,1730773496
114,bikenibeu village,1.3673,173.1241,304.13,70,40,2.57,KI,1730773497
115,kendari,-3.945,122.4989,303.78,61,100,0.64,ID,1730773499
116,jimo,36.3897,120.4622,284.03,46,0,3.0,CN,1730773500
117,guerrero negro,27.9769,-114.0611,292.27,41,0,7.75,MX,1730773501
118,salamanca,40.8333,-6.0,285.38,82,100,2.71,ES,1730772782
119,praia,14.9215,-23.5087,298.45,78,40,5.14,CV,1730773503
120,la passe,45.5549,-0.8967,287.93,89,93,4.17,FR,1730773334
121,sydney,-33.8679,151.2073,296.68,71,75,6.17,AU,1730773100
122,ta`u,-14.2336,-169.5144,300.18,80,100,10.04,AS,1730773507
123,alvorada,-12.48,-49.1247,297.04,89,100,2.99,BR,1730773508
124,emmett,43.8735,-116.4993,280.24,72,93,1.34,US,1730773509
125,akobo,7.4344,3.9497,294.54,70,0,1.22,NG,1730773510
126,bonthe,7.5264,-12.505,298.58,87,97,1.34,SL,1730773511
127,gold camp,33.2937,-111.3043,287.18,31,0,1.64,US,1730773512
128,holualoa,19.6228,-155.9522,297.35,82,100,3.44,US,1730773048
129,drayton valley,53.2168,-114.9854,272.75,78,100,2.34,CA,1730773489
130,jamestown,42.097,-79.2353,287.05,57,0,5.14,US,1730772867
131,lerwick,60.1545,-1.1494,283.55,88,100,3.33,GB,1730773421
132,birzebbuga,35.8258,14.5269,289.53,94,20,1.03,MT,1730773518
133,tome acu,-2.4189,-48.1522,298.37,65,78,1.33,BR,1730773519
134,ngama,11.7833,17.1667,297.56,28,77,3.99,TD,1730773520
135,udachny,66.4167,112.4,259.55,85,93,6.84,RU,1730773522
136,invercargill,-46.4,168.35,288.16,70,21,5.81,NZ,1730772841
137,martapura,-3.4167,114.85,303.2,74,40,1.54,ID,1730773524
138,galle,6.0367,80.217,297.82,88,100,3.42,LK,1730773388
139,viqueque,-8.8673,126.3658,303.94,54,99,3.55,TL,1730773157
140,urengoy,65.9667,78.3667,266.17,95,100,5.89,RU,1730773527
141,taltal,-25.4,-70.4833,291.16,68,4,1.61,CL,1730773528
142,petropavlovsk-kamchatsky,53.0452,158.6483,272.48,47,75,1.0,RU,1730773530
143,kalispell,48.1958,-114.3129,276.17,87,100,3.6,US,1730773531
144,plouzane,48.3833,-4.6167,285.25,100,100,3.6,FR,1730773532
145,mandera,3.9366,41.867,299.54,71,98,5.41,KE,1730773533
